Altium Designer Pick and Place Locations
D:\Astapenko\PWM\Led Digit\Simple\LED PD LKW WH 3000030 (4F00221L_7P00491A)\LED PD LKW WH 3000030 (4F00221L_7P00491A)\Project Outputs for LED PD LKW WH 3000030 (4F00221L_7P00491A)\Pick Place for LED PD LKW WH 3000030 (4F00221L_7P00491A).csv

========================================================================================================================
File Design Information:

Date:       24.05.22
Time:       15:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator,""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Ref-X(mm)"",""Ref-Y(mm)"",""Layer"",""Rotation"",""Comment"""
"D37,""T66G"",""139.3480"",""99.0272"",""139.3480"",""99.0272"",""TopLayer"",""360"",""T66G_4"""
"VS110,""SOT23"",""355.3308"",""162.0271"",""355.3308"",""162.0271"",""TopLayer"",""90"",""BZX84"""
"VS109,""SOT23"",""353.0747"",""151.0271"",""353.0748"",""151.0271"",""TopLayer"",""90"",""BZX84"""
"VS108,""SOT23"",""351.0569"",""140.0709"",""351.0570"",""140.0709"",""TopLayer"",""90"",""BZX84"""
"VS107,""SOT23"",""348.4455"",""130.0272"",""348.4456"",""130.0272"",""TopLayer"",""90"",""BZX84"""
"VS106,""SOT23"",""346.4499"",""119.5250"",""346.4500"",""119.5250"",""TopLayer"",""90"",""BZX84"""
"VS105,""SOT23"",""343.4187"",""109.0272"",""343.4188"",""109.0272"",""TopLayer"",""90"",""BZX84"""
"VS104,""SOT23"",""341.0306"",""98.5271"",""341.0307"",""98.5271"",""TopLayer"",""90"",""BZX84"""
"VS103,""SOT23"",""341.6499"",""88.1250"",""341.6500"",""88.1250"",""TopLayer"",""90"",""BZX84"""
"VS102,""SOT23"",""336.2793"",""77.5272"",""336.2793"",""77.5272"",""TopLayer"",""90"",""BZX84"""
"VS101,""SOT23"",""336.2793"",""67.0270"",""336.2793"",""67.0270"",""TopLayer"",""90"",""BZX84"""
"VS100,""SOT23"",""335.8621"",""56.5272"",""335.8621"",""56.5272"",""TopLayer"",""90"",""BZX84"""
"VS99,""SOT23"",""348.3429"",""46.0271"",""348.3428"",""46.0271"",""TopLayer"",""270"",""BZX84"""
"VS98,""SOT23"",""345.7740"",""35.5272"",""345.7739"",""35.5272"",""TopLayer"",""270"",""BZX84"""
"VS97,""SOT23"",""343.2676"",""25.0271"",""343.2676"",""25.0271"",""TopLayer"",""90"",""BZX84"""
"VS96,""SOT23"",""320.3455"",""25.0271"",""320.3456"",""25.0271"",""TopLayer"",""90"",""BZX84"""
"VS95,""SOT23"",""318.7999"",""35.3500"",""318.8000"",""35.3500"",""TopLayer"",""90"",""BZX84"""
"VS94,""SOT23"",""316.4749"",""46.0250"",""316.4750"",""46.0250"",""TopLayer"",""90"",""BZX84"""
"VS93,""SOT23"",""328.1499"",""56.5250"",""328.1500"",""56.5250"",""TopLayer"",""90"",""BZX84"""
"VS92,""SOT23"",""328.1589"",""67.0270"",""328.1590"",""67.0270"",""TopLayer"",""90"",""BZX84"""
"VS91,""SOT23"",""328.1589"",""77.5272"",""328.1590"",""77.5272"",""TopLayer"",""90"",""BZX84"""
"VS90,""SOT23"",""322.4476"",""88.0273"",""322.4477"",""88.0273"",""TopLayer"",""90"",""BZX84"""
"VS89,""SOT23"",""323.5704"",""98.5271"",""323.5705"",""98.5271"",""TopLayer"",""90"",""BZX84"""
"VS88,""SOT23"",""320.7791"",""109.0272"",""320.7792"",""109.0272"",""TopLayer"",""90"",""BZX84"""
"VS87,""SOT23"",""318.0953"",""119.5271"",""318.0954"",""119.5271"",""TopLayer"",""90"",""BZX84"""
"VS86,""SOT23"",""315.4134"",""130.0272"",""315.4135"",""130.0272"",""TopLayer"",""90"",""BZX84"""
"VS85,""SOT23"",""311.2697"",""140.5273"",""311.2698"",""140.5273"",""TopLayer"",""90"",""BZX84"""
"VS84,""SOT23"",""308.9278"",""151.0271"",""308.9279"",""151.0271"",""TopLayer"",""90"",""BZX84"""
"VS83,""SOT23"",""306.3356"",""162.0271"",""306.3357"",""162.0271"",""TopLayer"",""90"",""BZX84"""
"VS82,""SOT23"",""282.0592"",""162.0271"",""282.0592"",""162.0271"",""TopLayer"",""270"",""BZX84"""
"VS81,""SOT23"",""279.3251"",""151.0250"",""279.3250"",""151.0250"",""TopLayer"",""270"",""BZX84"""
"VS80,""SOT23"",""276.9451"",""140.5273"",""276.9450"",""140.5273"",""TopLayer"",""270"",""BZX84"""
"VS79,""SOT23"",""272.9455"",""130.0272"",""272.9455"",""130.0272"",""TopLayer"",""90"",""BZX84"""
"VS78,""SOT23"",""270.8187"",""119.5271"",""270.8188"",""119.5271"",""TopLayer"",""90"",""BZX84"""
"VS77,""SOT23"",""268.5749"",""109.0250"",""268.5750"",""109.0250"",""TopLayer"",""90"",""BZX84"""
"VS76,""SOT23"",""266.2246"",""98.5271"",""266.2247"",""98.5271"",""TopLayer"",""90"",""BZX84"""
"VS75,""SOT23"",""263.9706"",""88.0273"",""263.9706"",""88.0273"",""TopLayer"",""270"",""BZX84"""
"VS74,""SOT23"",""264.4158"",""77.6250"",""264.4159"",""77.6250"",""TopLayer"",""90"",""BZX84"""
"VS73,""SOT23"",""261.3749"",""67.0250"",""261.3750"",""67.0250"",""TopLayer"",""90"",""BZX84"""
"VS72,""SOT23"",""260.2749"",""56.5250"",""260.2750"",""56.5250"",""TopLayer"",""90"",""BZX84"""
"VS71,""SOT23"",""271.1677"",""46.0271"",""271.1677"",""46.0271"",""TopLayer"",""270"",""BZX84"""
"VS70,""SOT23"",""269.0631"",""35.5272"",""269.0630"",""35.5272"",""TopLayer"",""270"",""BZX84"""
"VS69,""SOT23"",""267.3025"",""25.0271"",""267.3024"",""25.0271"",""TopLayer"",""270"",""BZX84"""
"VS68,""SOT23"",""245.6913"",""25.0271"",""245.6914"",""25.0271"",""TopLayer"",""90"",""BZX84"""
"VS67,""SOT23"",""243.9035"",""35.5272"",""243.9036"",""35.5272"",""TopLayer"",""90"",""BZX84"""
"VS66,""SOT23"",""241.3432"",""46.0271"",""241.3433"",""46.0271"",""TopLayer"",""90"",""BZX84"""
"VS65,""SOT23"",""252.6749"",""56.5250"",""252.6750"",""56.5250"",""TopLayer"",""90"",""BZX84"""
"VS64,""SOT23"",""251.6249"",""67.0250"",""251.6250"",""67.0250"",""TopLayer"",""90"",""BZX84"""
